shrinkage,incumbent_discount,one_sided_multiplier,observation_prior_strength,cap,cycles_tested,total_scored_rows,mean_absolute_error,rmse,winner_accuracy,brier_score,log_loss,expected_win_count_error,mean_absolute_adjustment,maximum_absolute_adjustment,mean_mae_change_vs_layer_2,mean_rmse_change_vs_layer_2,mean_brier_change_vs_layer_2,mean_log_loss_change_vs_layer_2,mean_absolute_error_rank,rmse_rank,brier_score_rank,log_loss_rank,expected_win_count_error_rank,combined_rank
0.6,0.75,1.0,0.5,4.0,1,400,4.751678384305552,6.259772949561719,0.9575,0.029185754971399382,0.09513291557809804,2.760485763068175,0.6207463973202917,3.8941176470588235,-0.13829949116246354,-0.21526144113331913,-0.002938106177448569,-0.0082889563467001,42.0,55.0,81.0,80.0,175.0,433.0
0.45,0.75,1.0,0.0,2.5,1,400,4.765194740291505,6.275096185620339,0.9575,0.029328061171294655,0.09552581159414675,2.7317230708546845,0.5817722242256824,2.5,-0.12478313517651074,-0.19993820507469895,-0.002795799977553297,-0.007896060330651392,88.0,95.0,109.0,111.0,37.0,440.0
0.6,0.75,1.0,0.5,3.0,1,400,4.75371325884278,6.260101199806652,0.9575,0.02918575497258527,0.09513291518852858,2.7604859191331457,0.6181560682376097,3.0,-0.13626461662523504,-0.21493319088838625,-0.002938106176262681,-0.00828895673626956,50.0,57.0,82.0,79.0,176.0,444.0
0.7,0.75,1.0,1.0,2.5,1,400,4.758304370630528,6.266410389487093,0.9575,0.029322200535433048,0.09544127302782834,2.750108031380364,0.59591475081253,2.5,-0.13167350483748752,-0.20862400120794522,-0.002801660613414903,-0.007980598896969796,68.0,71.0,105.0,103.0,97.0,444.0
0.5,1.0,1.0,0.0,2.0,1,400,4.770350093838637,6.262801850107453,0.9575,0.029232707005627336,0.09521584070780427,2.7501930098023877,0.7238881295889567,2.0,-0.11962778162937848,-0.21223254058758467,-0.002891154143220616,-0.00820603121699387,112.0,65.0,86.0,84.0,98.0,445.0
0.7,1.0,0.75,0.0,2.5,1,400,4.773119135220622,6.269974885455844,0.9575,0.028914621261878572,0.09445567005182813,2.7573790073936664,0.8027049455510279,2.5,-0.11685874024739373,-0.20505950523919392,-0.003209239886969379,-0.008966201872970009,138.0,80.0,44.0,44.0,143.0,449.0
0.5,1.0,0.75,0.0,2.5,1,400,4.77251427618352,6.278785307755305,0.9575,0.0291725783783254,0.09503380858377579,2.739988713043118,0.6309977672195043,2.5,-0.11746359928449568,-0.1962490829397332,-0.0029512827705225515,-0.00838806334102235,130.0,101.0,79.0,77.0,63.0,450.0
0.7,0.75,0.5,0.0,4.0,1,400,4.771443855822622,6.303716940435675,0.9625,0.028830196655070875,0.09443613619653829,2.7282725653678597,0.6031467832935549,4.0,-0.11853401964539323,-0.1713174502593633,-0.0032936644937770765,-0.00898573572825985,121.0,216.0,37.0,43.0,34.0,451.0
0.45,1.0,0.75,0.0,2.5,1,400,4.772478175657839,6.2832802236444,0.9575,0.02924352157965732,0.09519654053239006,2.7350785768874175,0.5809380026855038,2.5,-0.1174996998101765,-0.19175416705063775,-0.0028803395691906312,-0.00822533139240808,129.0,117.0,89.0,82.0,46.0,463.0
0.45,1.0,1.0,0.0,2.0,1,400,4.770653305495698,6.2667249789427615,0.9575,0.029317261193707943,0.09540869005676403,2.7455434408732344,0.6706428297805137,2.0,-0.11932456997231711,-0.20830941175227657,-0.0028065999551400087,-0.008013181868034111,116.0,73.0,103.0,97.0,77.0,466.0
0.7,0.75,0.75,0.5,3.0,1,400,4.765312936209659,6.280468716328595,0.9575,0.02917503448126666,0.09514168630663114,2.75428691968537,0.5903979613903764,3.0,-0.12466493925835653,-0.19456567436644345,-0.0029488266675812905,-0.008280185618167,89.0,107.0,80.0,81.0,116.0,473.0
0.7,1.0,0.75,1.0,4.0,1,400,4.747160055099118,6.25782974736859,0.96,0.029012030771733918,0.09459882189643182,2.7688717328230155,0.6265009898645318,4.0,-0.14281782036889723,-0.21720464332644784,-0.003111830377114034,-0.008823050028366322,29.0,52.0,57.0,51.0,289.0,478.0
0.7,1.0,0.75,0.5,2.5,1,400,4.76947688859612,6.272474304897824,0.9575,0.029088997479516557,0.09481688617922196,2.7584484964487217,0.6817051741594802,2.5,-0.12050098687189514,-0.20256008579721385,-0.0030348636693313946,-0.00860498574557618,105.0,87.0,69.0,67.0,150.0,478.0
0.45,0.75,1.0,0.0,4.0,1,400,4.762067182798726,6.272750105153782,0.9575,0.029262129038508587,0.09539352648872741,2.756878020508168,0.5924394586456743,4.0,-0.127910692669289,-0.2022842855412561,-0.002861732110339365,-0.008028345436070727,78.0,88.0,92.0,94.0,136.0,488.0
0.45,0.75,1.0,0.0,3.0,1,400,4.763406813480544,6.272751494825461,0.9575,0.029262129041138597,0.0953935358919746,2.7568742597353264,0.5887790893274923,3.0,-0.12657106198747137,-0.20228289586957704,-0.002861732107709354,-0.008028336032823533,82.0,89.0,93.0,95.0,135.0,494.0
0.4,1.0,1.0,0.0,2.0,1,400,4.7713147432103655,6.273080798562648,0.9575,0.02940538514558628,0.0956098453979298,2.7375641985546793,0.6126776841010297,2.0,-0.1186631322576499,-0.20195359213238984,-0.002718476003261673,-0.00781202652686834,119.0,91.0,126.0,113.0,54.0,503.0
0.6,1.0,1.0,0.5,2.0,1,400,4.76709034878854,6.262499636192806,0.9575,0.029267038182814245,0.09526714168625044,2.761070325506836,0.6983623057474739,2.0,-0.12288752667947556,-0.21253475450223203,-0.0028568229660337063,-0.008154730238547694,96.0,63.0,94.0,87.0,181.0,521.0
