retention_level,race_id,actual_dem_margin,actual_winner,layer_2_margin_dem,layer_3_margin_dem,layer_2_dem_probability,layer_3_dem_probability,probability_change_dem,margin_change_dem,layer_2_correct_winner,layer_3_correct_winner,winner_call_changed,characteristics_elasticity,district_elasticity
0.0,IA-4,-35.98196625535839,R,-30.136666666666667,-30.136666666666667,0.00959938721099763,0.00959938721099763,0.0,0.0,True,True,False,1.168847867869489,1.0
0.0,ID-1,-45.01315444146434,R,-42.33666666666667,-42.33666666666667,0.0014813287937847058,0.0014813287937847058,0.0,0.0,True,True,False,0.9002784293293729,1.0
0.0,ID-2,-27.182081670882717,R,-27.036666666666665,-27.036666666666665,0.01537546725780176,0.01537546725780176,0.0,0.0,True,True,False,0.8350988691058042,1.0
0.0,IL-1,34.067179109192374,D,40.26333333333333,40.26333333333333,0.9979632457774312,0.9979632457774312,0.0,0.0,True,True,False,0.92568565856846,1.0
0.0,IL-2,34.25504959961754,D,39.86333333333333,39.86333333333333,0.9978342501172475,0.9978342501172475,0.0,0.0,True,True,False,0.8584108111407394,1.0
0.0,IL-3,36.99897051626078,D,39.26333333333333,39.26333333333333,0.9976253146391424,0.9976253146391424,0.0,0.0,True,True,False,1.1446433838679606,1.0
0.0,IL-4,40.34965087525461,D,46.26333333333333,46.26333333333333,0.9991898137610146,0.9991898137610146,0.0,0.0,True,True,False,1.2918154976561989,1.0
0.0,IL-5,40.752868329994534,D,39.46333333333333,39.46333333333333,0.9976971035068742,0.9976971035068742,0.0,0.0,True,True,False,1.0673194130611363,1.0
0.0,IL-6,8.721045730859391,D,10.763333333333334,10.763333333333334,0.8396865136188014,0.8396865136188014,0.0,0.0,True,True,False,1.0403552920471777,1.0
0.0,IL-8,13.775547137031586,D,15.263333333333334,15.263333333333334,0.9127914558151481,0.9127914558151481,0.0,0.0,True,True,False,1.001792717963928,1.0
0.0,IL-9,43.388017403105415,D,41.46333333333333,41.46333333333333,0.998306012028397,0.998306012028397,0.0,0.0,True,True,False,1.3675800511224925,1.0
0.0,IL-10,26.00169306051659,D,25.763333333333332,25.763333333333332,0.9813592717252714,0.9813592717252714,0.0,0.0,True,True,False,1.221934758204366,1.0
0.0,IL-11,12.906021397133678,D,15.163333333333334,15.163333333333334,0.9115589883386929,0.9115589883386929,0.0,0.0,True,True,False,1.2692569046680529,1.0
0.0,IL-12,-50.0008586019899,R,-46.93666666666667,-46.93666666666667,0.0007305181901142828,0.0007305181901142828,0.0,0.0,True,True,False,1.2442954410049891,1.0
0.0,IL-13,13.232980634857256,D,9.063333333333333,9.063333333333333,0.8012872168698982,0.8012872168698982,0.0,0.0,True,True,False,1.320906804179352,1.0
0.0,IL-14,8.322062552831783,D,11.363333333333333,11.363333333333333,0.8517262731397668,0.8517262731397668,0.0,0.0,True,True,False,1.58053369780111,1.0
0.0,IL-15,-42.28781942732705,R,-42.83666666666667,-42.83666666666667,0.0013718032615922136,0.0013718032615922136,0.0,0.0,True,True,False,1.3039808875847605,1.0
0.0,IL-16,-32.65558188396555,R,-25.636666666666667,-25.636666666666667,0.019000576257417152,0.019000576257417152,0.0,0.0,True,True,False,1.2271940084172686,1.0
0.0,IL-17,3.970007249391952,D,5.663333333333332,5.663333333333332,0.7050123961588048,0.7050123961588048,0.0,0.0,True,True,False,1.2580963101916018,1.0
0.0,IN-1,5.681802192235715,D,8.263333333333334,8.263333333333334,0.7809621349566592,0.7809621349566592,0.0,0.0,True,True,False,1.1855086983432872,1.0
0.0,IN-2,-32.16418564148542,R,-24.736666666666668,-24.736666666666668,0.021760864058761004,0.021760864058761004,0.0,0.0,True,True,False,1.5812872305639458,1.0
0.0,IN-3,-35.229381468874976,R,-34.03666666666667,-34.03666666666667,0.00529117216484424,0.00529117216484424,0.0,0.0,True,True,False,1.1867052816293706,1.0
0.0,IN-4,-36.43435947758703,R,-33.236666666666665,-33.236666666666665,0.005980020364301644,0.005980020364301644,0.0,0.0,True,True,False,1.261123094561044,1.0
0.0,IN-5,-22.14125303634447,R,-20.03666666666667,-20.03666666666667,0.043832225607395386,0.043832225607395386,0.0,0.0,True,True,False,1.2862627501271655,1.0
0.0,IN-6,-35.05921746140014,R,-36.03666666666667,-36.03666666666667,0.003895218946002045,0.003895218946002045,0.0,0.0,True,True,False,1.2736232841929611,1.0
0.0,IN-7,36.350039958899416,D,42.26333333333333,42.26333333333333,0.9985018893268582,0.9985018893268582,0.0,0.0,True,True,False,0.8999055885001347,1.0
0.0,IN-8,-34.20014812071839,R,-36.93666666666667,-36.93666666666667,0.0033932635002295246,0.0033932635002295246,0.0,0.0,True,True,False,1.1996519066052849,1.0
0.0,IN-9,-29.94815248850299,R,-29.436666666666667,-29.436666666666667,0.010679229307757429,0.010679229307757429,0.0,0.0,True,True,False,1.1755443980294449,1.0
0.0,KS-1,-35.332284785571986,R,-33.736666666666665,-33.736666666666665,0.0055397188409337765,0.0055397188409337765,0.0,0.0,True,True,False,1.1799771980137592,1.0
0.0,KS-2,-15.278670540542857,R,-20.436666666666667,-20.436666666666667,0.04132428352625817,0.04132428352625817,0.0,0.0,True,True,False,1.4099816792107225,1.0
0.0,KS-3,12.176810689890935,D,4.363333333333333,4.363333333333333,0.661790172466228,0.661790172466228,0.0,0.0,True,True,False,1.2673493667696063,1.0
0.0,KS-4,-26.684445221649035,R,-25.836666666666666,-25.836666666666666,0.0184354598057851,0.0184354598057851,0.0,0.0,True,True,False,1.3258496235145214,1.0
0.0,KY-1,-49.80761252430265,R,-46.83666666666667,-46.83666666666667,0.0007418354266510367,0.0007418354266510367,0.0,0.0,True,True,False,0.7112962559758867,1.0
0.0,KY-2,-43.71564891931079,R,-40.83666666666667,-40.83666666666667,0.00186511799078111,0.00186511799078111,0.0,0.0,True,True,False,0.6836172646480699,1.0
0.0,KY-3,23.99311213581574,D,20.163333333333334,20.163333333333334,0.9569772791759138,0.9569772791759138,0.0,0.0,True,True,False,0.4650850852978094,1.0
0.0,KY-4,-33.98840968990292,R,-36.63666666666667,-36.63666666666667,0.0035529765579637544,0.0035529765579637544,0.0,0.0,True,True,False,0.744642017259832,1.0
0.0,KY-5,-64.34688121329819,R,-63.53666666666667,-63.53666666666667,5.6859419794040125e-05,5.6859419794040125e-05,0.0,0.0,True,True,False,0.7854045230793962,1.0
0.0,KY-6,-29.072839096014068,R,-15.136666666666667,-15.136666666666667,0.08877231601879398,0.08877231601879398,0.0,0.0,True,True,False,0.6477655476124732,1.0
