retention_level,group_type,group_value,races,layer_2_mae,layer_3_mae,mae_change,layer_2_rmse,layer_3_rmse,improved_races,worsened_races,unchanged_races,mean_margin_change,mean_absolute_margin_change,maximum_absolute_margin_change
0.5,prediction_source,District DNA,385,4.813277035150332,4.799562360461732,-0.013714674688600052,6.375190108793527,6.372482485936358,191,194,0,-8.022523046899094e-05,0.40279687803758435,0.8226940059916075
0.5,competitiveness,Within 5,26,5.075360196193751,4.802270126359376,-0.2730900698343743,6.323407802877534,6.136697929745761,18,8,0,-0.11908565193940815,0.4521962357015488,0.8226940059916075
0.5,competitiveness,5 to 10,41,5.20584070074331,5.1377433536173,-0.06809734712600983,6.773652040809527,6.7051778107987,22,19,0,-0.20438249303513437,0.4518335568309446,0.8226940059916075
0.5,competitiveness,10 to 20,90,5.297625605836458,5.293588239231199,-0.004037366605258678,7.111752847138969,7.1035770179610935,44,46,0,-0.030199952842552873,0.39232595577000395,0.8226940059916075
0.5,competitiveness,Over 20,243,4.6658683614420235,4.691778114360343,0.02590975291831799,6.185638514414538,6.2159461891114205,113,130,0,0.058411131360885424,0.3877505329278218,0.8226940059916075
0.5,boundary_status,Configured boundary-break state,64,5.724516986163392,5.590815104680646,-0.13370188148274664,7.198093761780297,7.131338795581991,40,24,0,-0.0426139979894672,0.3609903399570846,0.8226940059916075
0.5,boundary_status,Other state,336,4.731018044859373,4.744700468465663,0.013682423606290604,6.327948376631451,6.3382322676542335,157,179,0,0.008116951997994575,0.40687979679112085,0.8226940059916075
0.5,district_type,Exurban,14,4.152407123846518,3.798752801965629,-0.3536543218808887,4.684413331041608,4.319191376194634,11,3,0,-0.31957463232333266,0.6217055898809314,0.8226940059916075
0.5,district_type,Mixed,107,5.226749318157319,5.215952108926242,-0.010797209231077574,7.302365227022569,7.273089875975669,49,58,0,-0.07803166829040328,0.36324210102786975,0.8226940059916075
0.5,district_type,Rural,138,4.33709595653513,4.400197565265347,0.06310160873021624,5.657310534134516,5.729582446302768,62,76,0,0.04842405135095172,0.3890062407112083,0.8226940059916075
0.5,district_type,Suburban,69,5.018642171823824,4.8971200404894955,-0.12152213133432861,6.498979342501003,6.446629555153248,44,25,0,-0.11829596219586058,0.43200829930805784,0.8226940059916075
0.5,district_type,Urban,72,5.469301688233751,5.494632811402841,0.025331123169089365,6.8985137571554676,6.905993176042389,31,41,0,0.1986574397872657,0.39934411861600305,0.8226940059916075
