race_id,shrinkage,incumbent_discount,one_sided_multiplier,observation_prior_strength,cap,layer_2_margin_dem,candidate_war_adjustment_dem,war_adjusted_margin_dem,actual_dem_margin,layer_2_absolute_error,war_adjusted_absolute_error,absolute_error_change
NV-1,0.7,1.0,1.0,0.0,4.0,8.363333333333333,0.6485294117647059,9.011862745098039,5.609563670887769,2.7537696624455643,3.40229907421027,0.6485294117647058
NV-2,0.7,1.0,1.0,0.0,4.0,-15.136666666666667,-1.1302941176470587,-16.266960784313724,-21.931220168889975,6.794553502223309,5.664259384576251,-1.1302941176470576
NV-3,0.7,1.0,1.0,0.0,4.0,6.463333333333333,1.6315384615384616,8.094871794871795,3.966784180450412,2.496549152882921,4.128087614421382,1.6315384615384612
NV-4,0.7,1.0,1.0,0.0,4.0,8.163333333333334,0.07249999999999994,8.235833333333334,4.830394584852149,3.332938748481185,3.4054387484811848,0.07249999999999979
NY-1,0.7,1.0,1.0,0.0,4.0,-1.9366666666666672,0.0,-1.9366666666666672,-5.771559262747209,3.8348925960805413,3.8348925960805413,0.0
NY-2,0.7,1.0,1.0,0.0,4.0,-5.636666666666667,-0.42,-6.056666666666667,-14.641355318077284,9.004688651410618,8.584688651410618,-0.41999999999999993
NY-3,0.7,1.0,1.0,0.0,4.0,6.063333333333333,0.6649999999999999,6.728333333333333,-4.937592039231946,11.000925372565279,11.66592537256528,0.6650000000000009
NY-4,0.7,1.0,1.0,0.0,4.0,12.363333333333333,0.0,12.363333333333333,0.5449689102057814,11.818364423127552,11.818364423127552,0.0
NY-5,0.7,1.0,1.0,0.0,4.0,62.26333333333333,-2.94,59.32333333333333,50.57720557665124,11.68612775668209,8.746127756682093,-2.9399999999999977
NY-6,0.7,1.0,1.0,0.0,4.0,30.163333333333334,4.0,34.163333333333334,29.62045725241844,0.542876080914894,4.542876080914894,4.0
NY-7,0.7,1.0,1.0,0.0,4.0,62.46333333333333,0.0,62.46333333333333,45.12591415565556,17.337419177677774,17.337419177677774,0.0
NY-8,0.7,1.0,1.0,0.0,4.0,53.06333333333333,0.13999999999999999,53.20333333333333,43.123425344001774,9.939907989331559,10.07990798933156,0.14000000000000057
NY-10,0.7,1.0,1.0,0.0,4.0,69.06333333333333,0.0,69.06333333333333,66.22982125453295,2.833512078800382,2.833512078800382,0.0
NY-11,0.7,1.0,1.0,0.0,4.0,-11.736666666666666,3.039615384615385,-8.697051282051282,-18.938367097020667,7.201700430354,10.241315814969385,3.0396153846153844
NY-12,0.7,1.0,1.0,0.0,4.0,71.26333333333334,-2.0784615384615384,69.1848717948718,57.30410470053131,13.959228632802024,11.880767094340484,-2.0784615384615392
NY-14,0.7,1.0,1.0,0.0,4.0,56.46333333333333,0.10499999999999986,56.56833333333333,34.35659395343525,22.10673937989808,22.211739379898077,0.10499999999999687
NY-15,0.7,1.0,1.0,0.0,4.0,69.86333333333333,1.75,71.61333333333333,59.49357134431643,10.3697619890169,12.1197619890169,1.75
