house_environment_multiplier,mean_cycle_winner_accuracy,mean_cycle_winner_error_rate,mean_cycle_brier_score,mean_cycle_absolute_expected_seat_error,mean_cycle_expected_seat_error_rate,mean_cycle_absolute_deterministic_seat_error,mean_cycle_deterministic_seat_error_rate,mean_cycle_margin_mae,mean_cycle_margin_rmse,mean_cycle_margin_bias_dem,cycles,winner_error_rate_normalized_penalty,brier_score_normalized_penalty,expected_seat_error_rate_normalized_penalty,deterministic_seat_error_rate_normalized_penalty,margin_mae_normalized_penalty,majority_composite_score,composite_rank,winner_accuracy_rank,brier_rank,expected_seat_error_rank,deterministic_seat_error_rank,margin_mae_rank
0.72,0.9408796343676447,0.05912036563235534,0.045102405493780466,8.644979697819316,0.022605875043803018,7.75,0.019952816562300465,6.0653222000022655,7.954550870602374,0.0790800022701694,4,0.5912119258570425,0.35286641695292,0.011411255731299771,0.3378291833846545,0.0,0.34809740694215296,34,31,34,4,30,1
0.7,0.9408577526663736,0.05914224733362636,0.0452016201804929,8.624987992348139,0.022563769093348313,8.25,0.021203199492072708,6.065719356549534,7.955440300581747,0.018330002270169107,4,0.5930489551182945,0.3987555937547404,0.0038143492851717064,0.4336332765103984,0.0027367773838681206,0.37320073293287565,35,41,36,2,36,4
0.69,0.9408577526663736,0.05914224733362636,0.04525339007887127,8.614961240017266,0.022542628013994856,8.25,0.021203199492072708,6.066294145410049,7.956258919019753,-0.012044997729830732,4,0.5930489551182945,0.4227004158210813,0.0,0.4336332765103984,0.006697606343567096,0.3786221100404115,36,41,37,1,36,6
0.71,0.940243502052123,0.05975649794787696,0.04515128976362499,8.634994132277612,0.02258485140925663,8.0,0.020588948877822092,6.065378350770442,7.95487093205371,0.04870500227016918,4,0.644616990809148,0.375476566478715,0.007618096259022991,0.38656951576237664,0.00038693093060874383,0.37901348156557213,37,48,35,3,35,2
0.68,0.9408577526663736,0.05914224733362636,0.045306592774646735,8.693464838131689,0.022738998116247747,8.25,0.021203199492072708,6.066961173336593,7.957326704800106,-0.04241999772983067,4,0.5930489551182945,0.4473079411146912,0.035429797440069806,0.4336332765103984,0.011294048115272999,0.39208977294041325,38,41,38,11,36,8
0.67,0.9408577526663736,0.05914224733362636,0.04536122156596774,8.814369948967851,0.023039540744692142,8.25,0.021203199492072708,6.067872519188938,7.958643549878612,-0.07279499772983045,4,0.5930489551182945,0.4725750698681704,0.08965477530445992,0.4336332765103984,0.01757406725314694,0.40956555165855474,39,41,39,27,36,10
0.66,0.9408577526663736,0.05914224733362636,0.045417269734824,8.935107497337846,0.023339663589645624,8.25,0.021203199492072708,6.0690905766454435,7.960209320644335,-0.10316999772983057,4,0.5930489551182945,0.4984986948403291,0.14380401432734063,0.4336332765103984,0.025967614135701214,0.4272959830502983,40,41,40,40,36,12
0.65,0.9408796343676447,0.05912036563235534,0.0454747305457329,9.055677213585064,0.02363936600163634,8.75,0.02245358242184495,6.070722650278373,7.962023857815583,-0.13354499772983058,4,0.5912119258570425,0.5250757007085928,0.19787739732867288,0.5294373696361424,0.037214116901739175,0.45904488998335596,41,31,41,41,41,15
0.64,0.9408796343676447,0.05912036563235534,0.04553359724870982,9.176079433756271,0.023938648819828268,8.75,0.02245358242184495,6.0727435850919615,7.964086976322774,-0.16391999772983046,4,0.5912119258570425,0.552302965442871,0.2518750757134288,0.5294373696361424,0.05114023427317249,0.4773475477124484,42,31,42,42,41,17
0.63,0.9408796343676447,0.05912036563235534,0.045593863079927105,9.296314952098946,0.024237514009599417,8.75,0.02245358242184495,6.074976512436866,7.966398465179051,-0.19429499772983047,4,0.5912119258570425,0.5801773606103362,0.30579740408215034,0.5294373696361424,0.06652717702755415,0.4958699593157781,43,31,43,43,41,19
