model_id,model_description,alpha,rows,categorical_feature_count,numeric_feature_count,residual_prediction_mean,residual_prediction_sd,residual_prediction_min,residual_prediction_max,mean_absolute_error,rmse,winner_accuracy,brier_score,log_loss,predicted_dem_wins,expected_dem_wins,actual_dem_wins,mean_margin_error_dem_bias,mean_absolute_error_rank_within_model,rmse_rank_within_model,brier_score_rank_within_model,log_loss_rank_within_model,selection_rank_within_model
F_demographics,Continuous DRA voting-age demographic shares.,0.1,400,2,6,-3.2484674184720435,4.643273421588151,-62.516882237200576,7.224992007880091,4.02807124537851,6.728288698294404,0.9525,0.03460480310869357,0.13079472457974933,199.0,195.57535323991556,204.0,-0.30622868249301277,7.0,13.0,12.0,12.0,44.0
F_demographics,Continuous DRA voting-age demographic shares.,0.3,400,2,6,-3.2504692724659754,4.6189302568372606,-62.89214817218486,6.996184889775393,4.007808805953241,6.727925979611056,0.9525,0.03462423871341078,0.13106341680907307,199.0,195.60014051088723,204.0,-0.3082305364869447,6.0,12.0,13.0,13.0,44.0
F_demographics,Continuous DRA voting-age demographic shares.,1.0,400,2,6,-3.237161550939911,4.408687710212873,-59.6943427246661,6.661115328417411,3.9753758842849107,6.598306793500983,0.95,0.034568445983150266,0.12737103540386355,198.0,195.6145992037608,204.0,-0.29492281496088085,5.0,9.0,9.0,9.0,32.0
F_demographics,Continuous DRA voting-age demographic shares.,3.0,400,2,6,-3.196793115285593,3.880650289289956,-49.97538235960628,6.355138115822898,3.919182590508051,6.260446995109357,0.9475,0.03396287316667804,0.11700179088117395,197.0,195.67379851672518,204.0,-0.25455437930656283,3.0,8.0,8.0,8.0,27.0
F_demographics,Continuous DRA voting-age demographic shares.,10.0,400,2,6,-3.1338660993074354,3.093635545216077,-35.011930043645975,5.852951479516108,3.861722116666243,5.836460526516116,0.95,0.03230146059871512,0.10422437115884986,198.0,196.14833793040435,204.0,-0.19162736332840516,1.0,7.0,4.0,5.0,17.0
F_demographics,Continuous DRA voting-age demographic shares.,30.0,400,2,6,-3.0926405356732145,2.561352191382608,-26.091261220036166,5.155121474627009,3.879207817000895,5.666777843750549,0.9525,0.031082060490957252,0.10063853424391628,199.0,196.67595393450026,204.0,-0.15040179969418446,2.0,4.0,1.0,1.0,8.0
F_demographics,Continuous DRA voting-age demographic shares.,100.0,400,2,6,-3.064625980351747,2.1395186917390454,-21.78303086681546,4.183092196924895,3.961173889150374,5.641908340485881,0.95,0.031312866922965615,0.10116616248555509,198.0,196.8173479361169,204.0,-0.12238724437271598,4.0,2.0,2.0,2.0,10.0
F_demographics,Continuous DRA voting-age demographic shares.,300.0,400,2,6,-3.033240421134434,1.6479692601937022,-17.527945764714644,1.9870707184670486,4.03654487901579,5.631292126175166,0.95,0.031719323864871855,0.10218986500806874,198.0,196.82372301165552,204.0,-0.09100168515540419,8.0,1.0,3.0,3.0,15.0
F_demographics,Continuous DRA voting-age demographic shares.,1000.0,400,2,6,-2.9935543512558263,0.9674831009163221,-11.751582877700558,-0.5719782256037038,4.125564970533865,5.647799489370819,0.9525,0.03230787005299018,0.10414295467421812,199.0,196.7556970021669,204.0,-0.05131561527679595,11.0,3.0,5.0,4.0,23.0
F_demographics,Continuous DRA voting-age demographic shares.,3000.0,400,2,6,-2.9658146734568005,0.454848792421161,-7.220699698151223,-2.0026758879383624,4.199853741007667,5.698383498285763,0.955,0.03285204932430718,0.10606907762253616,198.0,196.66854281973116,204.0,-0.023575937477769884,12.0,5.0,6.0,6.0,29.0
